Game 1,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 2,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 3,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 4,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 5,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 6,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 7,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 8,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 9,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 10,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 11,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 12,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 13,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 14,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 15,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 16,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 17,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 18,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 19,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 20,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 21,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 22,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 23,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 24,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 25,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 26,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 27,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 28,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 29,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 30,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 31,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 32,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 33,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 34,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 35,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 36,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 37,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 38,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 39,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 40,Predicted Player: 0.0,Actual Player: 0.0,Correct
